name,price,url,views_cnt,city,seller,seller_rating,comments_cnt
Украшения из природного камня,700.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/ukrasheniya_iz_prirodnogo_kamnya_4787388151?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,860,Москва,Софья,,12
Украшение тика для волос этно,322.0,https://www.avito.ru/moskva/odezhda_obuv_aksessuary/ukrashenie_tika_dlya_volos_etno_4341097681?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,47,Москва,Анна,,11
"Этно-серьги, этно-украшения",460.0,https://www.avito.ru/ufa/chasy_i_ukrasheniya/etno-sergi_etno-ukrasheniya_4169287137?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,1400,Уфа,Марфуга,,33
Этно украшения серьги,390.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/etno_ukrasheniya_sergi_4502447244?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,43,Москва,ST_krossshop,,22
Этно украшение на голову,1000.0,https://www.avito.ru/mahachkala/chasy_i_ukrasheniya/etno_ukrashenie_na_golovu_4135701554?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,504,Махачкала,Патимат,,12
Украшения этно бохо,80.0,https://www.avito.ru/vyborg/chasy_i_ukrasheniya/ukrasheniya_etno_boho_4458507643?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,103,Выборгский р-н,Фима,,60
"Серебряное кольцо в этно-стиле ""Традиция""",649.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/serebryanoe_koltso_v_etno-stile_traditsiya_4655137163?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,73,Москва,Amvia,,1
Этно украшения,680.0,https://www.avito.ru/mahachkala/chasy_i_ukrasheniya/etno_ukrasheniya_3866022727?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,722,Махачкала,ethno,,217
Этно украшения,2500.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/etno_ukrasheniya_4635293728?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,828,Москва,Надежда Долгая,,16
Этно украшения ручной работы,400.0,https://www.avito.ru/izhevsk/chasy_i_ukrasheniya/etno_ukrasheniya_ruchnoy_raboty_4340564777?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,229,Ижевск,Алина,,3
